##NAMES=Calcite
##RRUFFID=R040070
##IDEAL CHEMISTRY=CaCO_3_
##LOCALITY=Pryor Mountain, Big Horn County, Montana, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Orange scalenohedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R040070
##MEASURED CHEMISTRY=(Ca_0.99_Mg_0.01_)CO_3_
576.7136, 232.4809
578.6421, 228.6194
580.5706, 231.8832
582.4990, 235.9301
584.4275, 237.4371
586.3560, 237.8574
588.2844, 237.1109
590.2129, 236.7926
592.1414, 241.4722
594.0698, 249.6338
595.9983, 250.6930
597.9268, 243.2264
599.8552, 241.3881
601.7837, 246.7672
603.7122, 249.9982
605.6406, 249.3530
607.5691, 247.9737
609.4976, 246.0949
611.4260, 244.9695
613.3545, 246.4246
615.2830, 247.4897
617.2114, 245.7381
619.1399, 242.9569
621.0684, 241.1496
622.9968, 240.1200
624.9253, 239.8348
626.8538, 240.1134
628.7822, 237.8699
630.7107, 232.8365
632.6392, 231.3531
634.5676, 234.6480
636.4961, 236.3779
638.4246, 234.8602
640.3530, 233.3421
642.2815, 233.1100
644.2100, 232.6467
646.1384, 230.7361
648.0669, 229.0560
649.9954, 229.8189
651.9238, 230.3294
653.8523, 226.6928
655.7808, 221.0678
657.7092, 217.2026
659.6377, 215.2161
661.5662, 216.2461
663.4946, 220.0443
665.4231, 223.6087
667.3516, 226.8234
669.2800, 229.8595
671.2085, 233.0687
673.1370, 234.3227
675.0654, 232.0839
676.9939, 230.3423
678.9224, 229.2604
680.8508, 230.6553
682.7793, 234.6263
684.7078, 242.0153
686.6362, 255.0455
688.5647, 270.1882
690.4932, 278.9922
692.4216, 290.3405
694.3501, 310.7110
696.2786, 348.1067
698.2070, 381.3642
700.1355, 445.6435
702.0640, 676.6520
703.9924, 1092.964
705.9209, 2181.770
707.8494, 4108.249
709.7778, 5564.944
711.7063, 6496.962
713.6348, 6411.885
715.5632, 4578.921
717.4917, 2902.758
719.4202, 1771.155
721.3486, 1000.776
723.2771, 658.7128
725.2056, 487.9573
727.1340, 396.8478
729.0625, 346.1474
730.9910, 312.0815
732.9194, 288.8762
734.8479, 270.9142
736.7764, 257.5070
738.7048, 247.9964
740.6333, 241.7308
742.5618, 237.4296
744.4902, 234.9272
746.4187, 234.0199
748.3472, 234.5549
750.2756, 233.8333
752.2041, 231.8065
754.1326, 226.2041
756.0610, 213.9849
